published_name,snake_name,arrow_type,target_dtype,nullable,preset_minimal,preset_analysis,is_usd_thousand_amount
Year,year,string,Int16,false,true,true,false
provider,provider_code,string,Int16,false,true,true,false
ProviderNameE,provider_name,string,category,false,true,true,false
agencyname_E,provider_agency_name,string,category,true,false,false,false
tossdid,tossd_id,string,string,false,true,true,false
ProjectNumber,project_number,string,string,true,true,true,false
recipientcode,recipient_code,string,Int16,false,true,true,false
recipientnamee,recipient_name,string,category,false,true,true,false
regionnamee,region_name,string,category,false,false,true,false
Channel,channel_raw_text,string,string,true,false,false,false
ChannelCode,channel_code,string,Int32,true,false,true,false
ParentChannelCode,parent_channel_code,string,Int32,true,false,false,false
parentchannelname_e,parent_channel_name,string,string,true,false,false,false
otherPartners,other_partners,string,string,true,false,false,false
ChannelName_E,channel_name,string,category,true,false,true,false
Financeinstrument,finance_instrument_code,string,Int16,true,false,true,false
FinanceinstrumentName_e,finance_instrument_name,string,category,true,false,true,false
FinancingArrangement,financing_arrangement_code,string,category,true,false,true,false
FinancingArrangementName_e,financing_arrangement_name,string,category,true,false,true,false
FrameworkOfCollaboration,framework_of_collaboration_code,string,category,true,false,true,false
FrameworkOfCollaborationName_e,framework_of_collaboration_name,string,category,true,false,true,false
modality,modality_code,string,category,true,false,true,false
Aid_T_Description_E,modality_name,string,category,true,false,true,false
ProjectTitle,project_title,string,string,true,false,false,false
ExternalLink,external_link,string,string,true,false,false,false
sdgcode,sdg_codes_raw,string,string,true,false,true,false
SDG_goal_lvl_explanation,sdg_goal_level_explanation,string,string,true,false,false,false
keywords,keywords_raw,string,string,true,false,true,false
purposecode,purpose_code,string,Int32,true,false,true,false
purposename_e,purpose_name,string,category,true,false,true,false
sector,sector_name,string,category,true,false,true,false
sector3,sector_code,string,Int16,true,false,true,false
ISICcode,isic_code,string,category,true,false,true,false
ISICdescription,isic_description,string,category,true,false,true,false
ISIC_lvl,isic_section_letter,string,category,true,false,true,false
ISICdescription_letter_lvl,isic_section_description,string,category,true,false,true,false
ProjectDescription,project_description,string,string,true,false,false,false
TossdPillar,tossd_pillar,string,Int8,false,true,true,false
Tossdpillar2,tossd_subpillar,string,category,false,true,true,false
USD_Commitment,usd_commitment,double,float64,true,true,true,true
USD_Commitment_defl,usd_commitment_deflated,double,float64,true,true,true,true
USD_disbursements,usd_disbursement,double,float64,true,true,true,true
USD_disbursement_defl,usd_disbursement_deflated,double,float64,true,true,true,true
USD_Reflows,usd_reflow,double,float64,true,true,true,true
USD_Reflow_defl,usd_reflow_deflated,double,float64,true,true,true,true
SalaryCost,salary_cost,double,float64,true,false,false,false
Concessionality,concessionality_flag,string,Int8,true,false,true,false
Maturity,maturity,string,Int16,true,false,true,false
Mob_lvl,mobilisation_instrument,string,category,true,false,true,false
USD_amountmobilised,usd_amount_mobilised,double,float64,true,true,true,true
USD_amountmobilised_defl,usd_amount_mobilised_deflated,double,float64,true,true,true,true
Mob_Origin,mobilisation_origin,string,string,true,false,false,false
Sourcename,source_name,string,category,false,false,true,false
